Prev_LAT,Prev_LON,Prev_WIND,Prev_PRES
26.1,-86.8,40.0,1003.0
31.4,-76.5,75.0,982.0
31.7948,-76.269,77.0,980.0
32.1,-76.1,80.0,979.0
34.9,-74.0,80.0,975.0
36.9,-71.6,85.0,972.0
29.2,-46.1,80.0,976.0
32.3,-45.8,80.0,975.0
34.6,-45.0,70.0,980.0
14.0,-25.9,30.0,1006.0
15.3,-41.8,70.0,984.0
15.3,-47.7,65.0,992.0
15.362,-48.7353,65.0,992.0
15.5,-49.8,65.0,992.0
15.7347,-50.8997,65.0,992.0
16.0,-52.0,65.0,993.0
16.2144,-53.0577,65.0,994.0
16.4,-54.1,65.0,995.0
16.5573,-55.1727,70.0,990.0
16.7,-56.2,75.0,986.0
16.842,-57.1377,72.0,988.0
17.0,-58.0,70.0,990.0
17.1847,-58.8301,65.0,992.0
17.4,-59.6,60.0,994.0
17.6422,-60.3226,57.0,995.0
17.9,-61.0,55.0,997.0
18.1421,-61.6503,55.0,996.0
18.4,-62.3,55.0,995.0
18.6848,-62.9927,57.0,994.0
19.0,-63.7,60.0,994.0
19.3424,-64.4151,60.0,993.0
19.7,-65.1,60.0,993.0
20.0571,-65.7153,60.0,993.0
20.4,-66.3,60.0,993.0
20.6996,-66.8855,62.0,991.0
21.0,-67.5,65.0,989.0
21.3576,-68.2073,67.0,986.0
21.7,-68.9,70.0,983.0
21.965,-69.5252,72.0,981.0
22.2,-70.0,75.0,979.0
22.4422,-70.2603,77.0,976.0
22.7,-70.4,80.0,973.0
23.0,-70.5576,87.0,967.0
23.3,-70.7,95.0,962.0
23.565,-70.865,97.0,959.0
23.8,-71.0,100.0,957.0
24.0075,-71.0726,100.0,956.0
24.2,-71.1,100.0,955.0
24.4,-71.1075,97.0,957.0
24.6,-71.1,95.0,960.0
24.8,-71.0925,92.0,961.0
25.0,-71.1,90.0,963.0
25.2,-71.1275,90.0,963.0
25.4,-71.2,90.0,963.0
25.5925,-71.3276,90.0,963.0
25.8,-71.5,90.0,963.0
26.035,-71.6926,87.0,964.0
26.3,-71.9,85.0,965.0
26.5999,-72.0851,85.0,965.0
26.9,-72.3,85.0,966.0
27.1501,-72.6075,85.0,966.0
27.4,-72.9,85.0,967.0
27.6849,-73.0802,85.0,967.0
28.0,-73.2,85.0,967.0
28.3425,-73.315,82.0,970.0
28.7,-73.4,80.0,973.0
29.02,-73.4798,82.0,970.0
29.4,-73.5,85.0,968.0
29.9123,-73.4669,87.0,965.0
30.5,-73.3,90.0,963.0
31.0925,-72.9674,90.0,963.0
31.7,-72.5,90.0,963.0
32.3075,-71.9723,90.0,963.0
32.9,-71.4,90.0,963.0
33.4647,-70.8493,90.0,963.0
34.0,-70.3,90.0,963.0
34.5221,-69.7569,92.0,960.0
35.0,-69.2,95.0,957.0
35.4223,-68.6069,95.0,957.0
35.8,-68.0,95.0,958.0
36.1717,-67.4293,95.0,959.0
36.5,-66.8,95.0,960.0
